TIME 24 HOURS,COUNTY,PLACE,Date DD/MM/YYYY,NORMALIZED_ROAD,TEXT_CLEAN,FINAL_VEHICLE,ACCIDENT_TYPE_PRED,TIMEOFDAY,ROAD CODE
20:55,NAIROBI,CAR AND GENERAL,2016-06-07,LUSAKA,THE CAR LOST CONTROL AND OVERTURNED,CAR,DRIVER FAULT,EVENING,OTHER
,MIGORI,KEHANCHA TOWN,2016-06-07,NTIMARU KEHANCHA,HIT AND RUN,CAR,HIT AND RUN,NIGHT,OTHER
17:10,VIHIGA,STANDIKISIA,2016-06-07,KISUMU KAKAMEGA,THE CAR LOST CONTROL AND HIT THE PERSON,CAR,DRIVER FAULT,EVENING,A1
07:00,KILIFI,MAZERAS,2016-06-06,NAIROBI MOMBASA,HIT & RAN,CAR,HIT AND RUN,MORNING,A109
11:30,KAJIADO,STAGE 22,2016-06-06,KITENGELA KAJIADO,THE CAR HIT A PERSON WHO WAS CROSSING THE ROAD,CAR,VICTIM FAULT,MORNING,A104
20:30,MACHAKOS,KWA MAKAA,2016-06-06,THIKA MATUU,THE CAR FAILED TO KEEP DISTANCE AND HIT A TRACTOR,CAR,DRIVER FAULT,EVENING,OTHER
19:25,MAKUENI,KIUNDWANI,2016-06-06,NAIROBI MOMBASA,HEAD ON COLLISION,MOTORCYCLE,HEAD ON,EVENING,A109
19:30,GARISSA,ELDERE,2016-06-06,ROAD GARISSA,"THE STEERING ROD BROKE, LOST CONTROL & LANDED ON THE LEFT",CAR,MECHANICAL FAULT,EVENING,A3
16:30,MOMBASA,FERRY TERMINUS,2016-06-06,LIKONI FERRY,THE CAR POWER FAILED AND ROLLED,CAR,DRIVER FAULT,AFTERNOON,OTHER
07:45,MAKUENI,NEAR SULTAN,2016-06-05,NAIROBI MOMBASA,THE SAID CAR COLLIDED HEAD ON,CAR,HEAD ON,MORNING,A109
11:30,KIRINYAGA,NEAR ST.TERESA CATHOLIC CHURCH,2016-06-05,KUTUS KERUGOYA,THE SAID CAR KNOCKED DOWN PERSON,CAR,UNKNOWN,MORNING,OTHER
10:04,NAKURU,MZEE WANYAM AREA,2016-06-05,NAKURU ELEMENTAITA,THE SAID CAR SUDDENLY STOPPED AT THE MIDDLE OF THE ROAD AND WAS HIT FROM THE REAR OF THE SAID MOTORCYCLE,CAR,DRIVER FAULT,MORNING,OTHER
10:00,BARINGO,BARINGO NORTH,2016-06-05,NGARATUK O SIBILO,THE SAID CAR COLLIDED HEAD ON WITH THE SAID MOTORCYCLE,CAR,HEAD ON,MORNING,OTHER
15:30,LAIKIPIA,NANYUKI TOWNSHIP,2016-06-05,STREET BIASHARA,THE SAID CAR KNOCKED DOWN PERSON,CAR,UNKNOWN,AFTERNOON,OTHER
14:00,SIAYA,MWERI AREA,2016-06-05,SIAYA NYANDORERA,THE SAID CAR OF KANGA HIGH SCHOOL HIT THE SAID MOTORCYCLE,CAR,DRIVER FAULT,AFTERNOON,OTHER
20:40,NAKURU,KINANA FARM,2016-06-05,NJORO ELBURGON,THE SAID CAR KNOCKED DOWN PERSON,CAR,UNKNOWN,EVENING,OTHER
21:00,EMBU,MURARU,2016-06-05,KIRITIRI EMBU,UNKNOWN CAR KNOCKED DOWN A PERSON,CAR,VICTIM FAULT,NIGHT,OTHER
05:00,KIAMBU,TOLL AREA,2016-06-04,THIKA SUPERHIGHWAY,THE CAR RAMMED INTO REAR OF THE CAR KBU 899Z,CAR,DRIVER FAULT,MORNING,A2
08:00,NAIROBI,RUAI CENTRE,2016-06-04,KANGUNDO,THE CAR KNOCKED DOWN THE PERSON,CAR,VICTIM FAULT,MORNING,OTHER
14:30,BUNGOMA,KILINGILI,2016-06-04,KILINGILI CHAVAKALI,THE CAR LOST CONTROL AND VEERED AND KNOCKED DOWN THE PERSON,CAR,DRIVER FAULT,AFTERNOON,OTHER
16:10,HOMA BAY,MAGENDO,2016-06-04,AWASI AHERO,HEAD ON COLLISION,TRAILER,HEAD ON,AFTERNOON,OTHER
16:10,HOMA BAY,MAGENDO,2016-06-04,AWASI AHERO,HEAD ON COLLISION,MATATU,HEAD ON,AFTERNOON,OTHER
20:00,NAIROBI,MUTHAIGA FOOT BRIDGE,2016-06-04,THIKA SUPERHIGHWAY,HIT AND RUN,CAR,HIT AND RUN,EVENING,A2
18:00,UASIN GISHU,TIMBOROA,2016-06-04,NAKURU ELDORET,HEAD ON COLLISION,CAR,HEAD ON,EVENING,A104
19:30,KISII,NYATIEKO,2016-06-04,MARANI KISII,THE CAR COLLIDED WITH A MOTORCYCLE,CAR,UNKNOWN,EVENING,OTHER
19:30,KISII,NYATIEKO,2016-06-04,MARANI KISII,THE CAR COLLIDED WITH A MOTORCYCLE,CAR,UNKNOWN,EVENING,OTHER
22:30,BUNGOMA,MISIKHU,2016-06-04,WEBUYE KITALE,THE BICYCLE KNOCKED DOWN THE PERSON,BICYCLE,VICTIM FAULT,NIGHT,OTHER
22:00,NAIROBI,GATAKA,2016-06-04,GATAKA DIVERSION,THE CAR LOST CONTROL AND SLID INTO A QUARRY,CAR,DRIVER FAULT,NIGHT,OTHER
